,Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total,Comparación
502,2017,3,Tierra Del Fuego,30883,583,31466,52.97
503,2017,3,Tucumán,160979,33,161012,4878.15
504,2017,2,Buenos Aires,3067430,11,3078631,278857.27
505,2017,2,Capital Federal,1592175,8,1600191,199021.88
506,2017,2,Catamarca,26692,13,26705,2053.23
507,2017,2,Chaco,90597,14,90611,6471.21
508,2017,2,Chubut,62245,1,63975,62245.0
509,2017,2,Córdoba,657505,133,657638,4943.65
510,2017,2,Corrientes,90085,12,90097,7507.08
511,2017,2,Entre Ríos,182675,57,182732,3204.82
512,2017,2,Formosa,29956,0,29956,inf
513,2017,2,Jujuy,42656,1,42657,42656.0
514,2017,2,La Pampa,72573,449,73022,161.63
515,2017,2,La Rioja,16271,18,16289,903.94
516,2017,2,Mendoza,169302,1,170753,169302.0
517,2017,2,Misiones,99794,0,99794,inf
518,2017,2,Neuquén,115321,2,117433,57660.5
519,2017,2,Río Negro,100621,998,101619,100.82
520,2017,2,Salta,108540,1,108541,108540.0
521,2017,2,San Juan,51261,620,51881,82.68
522,2017,2,San Luis,12992,315,13307,41.24
523,2017,2,Santa Cruz,26019,369,26388,70.51
524,2017,2,Santa Fe,566918,362,567280,1566.07
525,2017,2,Santiago Del Estero,33194,2,33196,16597.0
526,2017,2,Tierra Del Fuego,31938,619,32557,51.6
527,2017,2,Tucumán,154374,37,154411,4172.27
528,2017,1,Buenos Aires,3178174,11,3189376,288924.91
529,2017,1,Capital Federal,1391030,8,1399046,173878.75
530,2017,1,Catamarca,26304,13,26317,2023.38
531,2017,1,Chaco,89036,14,89050,6359.71
532,2017,1,Chubut,62166,1,63896,62166.0
533,2017,1,Córdoba,641066,133,641199,4820.05
534,2017,1,Corrientes,88596,12,88608,7383.0
535,2017,1,Entre Ríos,180296,57,180353,3163.09
536,2017,1,Formosa,29705,0,29705,inf
537,2017,1,Jujuy,43202,1,43203,43202.0
538,2017,1,La Pampa,71458,455,71913,157.05
539,2017,1,La Rioja,16207,18,16225,900.39
540,2017,1,Mendoza,169282,1,170733,169282.0
541,2017,1,Misiones,97619,0,97619,inf
542,2017,1,Neuquén,113227,2,115339,56613.5
543,2017,1,Río Negro,100288,1,101288,100288.0
544,2017,1,Salta,107632,1,107633,107632.0
545,2017,1,San Juan,51253,620,51873,82.67
546,2017,1,San Luis,12992,315,13307,41.24
547,2017,1,Santa Cruz,26116,370,26486,70.58
548,2017,1,Santa Fe,562520,362,562882,1553.92
549,2017,1,Santiago Del Estero,34473,2,34475,17236.5
550,2017,1,Tierra Del Fuego,31938,619,32557,51.6
551,2017,1,Tucumán,152734,37,152771,4127.95
552,2016,4,Buenos Aires,3131499,11,3142701,284681.73
553,2016,4,Capital Federal,1393443,8,1401459,174180.38
554,2016,4,Catamarca,27021,13,27034,2078.54
555,2016,4,Chaco,88833,14,88847,6345.21
556,2016,4,Chubut,62035,1,63765,62035.0
557,2016,4,Córdoba,636422,133,636555,4785.13
558,2016,4,Corrientes,88084,12,88096,7340.33
559,2016,4,Entre Ríos,180188,57,180245,3161.19
560,2016,4,Formosa,29513,0,29513,inf
561,2016,4,Jujuy,42624,1,42625,42624.0
562,2016,4,La Pampa,71368,460,71828,155.15
563,2016,4,La Rioja,16298,18,16316,905.44
564,2016,4,Mendoza,169274,1,170725,169274.0
565,2016,4,Misiones,97390,0,97390,inf
566,2016,4,Neuquén,111723,2,113835,55861.5
567,2016,4,Río Negro,100020,1,101020,100020.0
568,2016,4,Salta,106934,1,106935,106934.0
569,2016,4,San Juan,51301,620,51921,82.74
570,2016,4,San Luis,12992,315,13307,41.24
571,2016,4,Santa Cruz,26094,370,26464,70.52
572,2016,4,Santa Fe,561470,362,561832,1551.02
573,2016,4,Santiago Del Estero,35049,2,35051,17524.5
574,2016,4,Tierra Del Fuego,31938,619,32557,51.6
575,2016,4,Tucumán,151615,37,151652,4097.7
576,2016,3,Buenos Aires,3075387,11,3086592,279580.64
577,2016,3,Capital Federal,1395053,8,1403104,174381.62
578,2016,3,Catamarca,26957,13,26970,2073.62
579,2016,3,Chaco,89216,14,89230,6372.57
580,2016,3,Chubut,62222,1,63952,62222.0
581,2016,3,Córdoba,642458,133,642591,4830.51
582,2016,3,Corrientes,88328,12,88340,7360.67
583,2016,3,Entre Ríos,181092,57,181149,3177.05
584,2016,3,Formosa,27716,0,27716,inf
585,2016,3,Jujuy,42537,1,42538,42537.0
586,2016,3,La Pampa,69903,461,70364,151.63
587,2016,3,La Rioja,16912,18,16930,939.56
588,2016,3,Mendoza,169174,1,170624,169174.0
589,2016,3,Misiones,97997,0,97997,inf
590,2016,3,Neuquén,110491,2,112603,55245.5
591,2016,3,Río Negro,100024,1,101026,100024.0
592,2016,3,Salta,107790,1,107791,107790.0
593,2016,3,San Juan,51348,620,51968,82.82
594,2016,3,San Luis,12978,315,13293,41.2
595,2016,3,Santa Cruz,25886,371,26257,69.77
596,2016,3,Santa Fe,566625,386,567011,1467.94
597,2016,3,Santiago Del Estero,35658,2,35660,17829.0
598,2016,3,Tierra Del Fuego,31306,619,31925,50.58
599,2016,3,Tucumán,151282,37,151319,4088.7
600,2016,2,Buenos Aires,3032776,12,3045291,252731.33
601,2016,2,Capital Federal,1384824,9,1394584,153869.33
602,2016,2,Catamarca,26543,13,26556,2041.77
603,2016,2,Chaco,88235,16,88251,5514.69
604,2016,2,Chubut,62116,1,63856,62116.0
605,2016,2,Córdoba,634680,234,634914,2712.31
606,2016,2,Corrientes,86932,24,86956,3622.17
607,2016,2,Entre Ríos,178194,179,178373,995.5
608,2016,2,Formosa,28801,1,28802,28801.0
609,2016,2,Jujuy,41187,2,41189,20593.5
610,2016,2,La Pampa,68403,485,68888,141.04
611,2016,2,La Rioja,16718,18,16736,928.78
612,2016,2,Mendoza,169274,1,170824,169274.0
613,2016,2,Misiones,95808,7,95815,13686.86
614,2016,2,Neuquén,108224,2,110515,54112.0
615,2016,2,Río Negro,99631,1,100704,99631.0
616,2016,2,Salta,104929,3,104932,34976.33
617,2016,2,San Juan,51392,621,52013,82.76
618,2016,2,San Luis,12939,317,13256,40.82
619,2016,2,Santa Cruz,25797,356,26153,72.46
620,2016,2,Santa Fe,563867,607,564474,928.94
621,2016,2,Santiago Del Estero,36958,3,36961,12319.33
622,2016,2,Tierra Del Fuego,30740,619,31359,49.66
623,2016,2,Tucumán,148636,41,148677,3625.27
624,2016,1,Buenos Aires,2929903,12,2942515,244158.58
625,2016,1,Capital Federal,1328079,9,1337896,147564.33
626,2016,1,Catamarca,26376,13,26389,2028.92
627,2016,1,Chaco,86635,16,86651,5414.69
628,2016,1,Chubut,62060,1,63800,62060.0
629,2016,1,Córdoba,609692,234,609926,2605.52
630,2016,1,Corrientes,85510,26,85536,3288.85
631,2016,1,Entre Ríos,174634,179,174813,975.61
632,2016,1,Formosa,28313,1,28314,28313.0
