,Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OtrasMediciones,TotalMediciones
273,2019,4,jujuy,55,0,32920,9632,26764,102,5286,14122.0,88881
274,2019,4,la pampa,293,313,76747,6900,1951,1287,1342,1566.0,90399
275,2019,4,la rioja,21,0,37846,5045,4763,22,1305,0.0,49002
276,2019,4,mendoza,746,9,145139,12955,15237,2165,2628,6901.0,185780
277,2019,4,misiones,71,0,39664,20840,27305,15626,20799,11508.0,135813
278,2019,4,neuquén,218,1,57370,4439,7357,12059,35001,0.0,116445
279,2019,4,río negro,114,0,71847,2797,8558,6968,19837,17019.0,127140
280,2019,4,salta,149,1,42159,67656,15369,14170,25821,7120.0,172445
281,2019,4,san juan,48,1,60626,1594,1292,40,127,1246.0,64974
282,2019,4,san luis,105,0,11901,4164,525,55216,3,36287.0,108201
283,2019,4,santa cruz,67,0,32368,4346,2224,7,8,350.0,39370
284,2019,4,santa fe,698,0,230234,190664,113527,70998,135576,27472.0,769169
285,2019,4,santiago del estero,133,908,34911,56309,3756,105,2449,5017.0,103588
286,2019,4,tierra del fuego,11,0,23593,5050,1848,139,1962,7789.0,40392
287,2019,4,tucumán,55,0,54544,52017,28916,6405,56707,0.0,198644
288,2019,3,buenos aires,238920,44648,1432722,222812,260506,483572,1246209,42294.0,3971683
289,2019,3,capital federal,104,368,269704,120924,138011,258591,655108,0.0,1442810
290,2019,3,catamarca,34,43,14449,9285,6333,72,15,2151.0,32382
291,2019,3,chaco,69,1216,32764,28198,13336,12987,16740,6917.0,112227
292,2019,3,chubut,74,840,62680,13033,7171,1240,614,4500.0,90152
293,2019,3,córdoba,83,5824,240151,106651,118486,146247,157546,7353.0,782341
294,2019,3,corrientes,10,597,42231,29628,10348,10388,12674,4780.0,110656
295,2019,3,entre ríos,19,4446,99656,56161,17064,21216,22645,15107.0,236314
296,2019,3,formosa,1110,349,24943,6049,7117,2262,4443,100.0,46373
297,2019,3,jujuy,27,885,31722,9240,26835,56,3671,16545.0,88981
298,2019,3,la pampa,237,3289,75849,5922,1611,1359,941,1618.0,90826
299,2019,3,la rioja,9,10,38657,4786,4887,22,1307,0.0,49678
300,2019,3,mendoza,21,1269,206821,2958,10093,1263,349,0.0,222774
301,2019,3,misiones,47,1928,43530,29375,11256,16107,16650,12206.0,131099
302,2019,3,neuquén,45,2258,62909,4586,9597,16923,28458,122.0,124898
303,2019,3,río negro,47,1234,87435,2348,9779,10176,15505,17719.0,144243
304,2019,3,salta,49,900,43160,62230,14309,11418,12357,7515.0,151938
305,2019,3,san juan,22,171,68315,2245,1267,41,128,4779.0,76968
306,2019,3,san luis,57,100,18643,5113,467,62242,5,36075.0,122702
307,2019,3,santa cruz,28,84,31612,4472,1203,27,4,0.0,37430
308,2019,3,santa fe,640,8184,242454,193286,107068,84325,97082,19537.0,752576
309,2019,3,santiago del estero,39,1832,35554,55172,3612,86,1836,34501.0,132632
310,2019,3,tierra del fuego,6,14,32133,4692,1756,82,226,9648.0,48557
311,2019,3,tucumán,16,110,71043,47693,24354,843,20385,0.0,164444
312,2019,2,buenos aires,199768,46852,1436259,217785,438663,502275,985767,43438.0,3870807
313,2019,2,capital federal,74,1027,281370,124087,239691,296155,475991,,1418395
314,2019,2,catamarca,34,43,16631,8670,6049,34,10,2151.0,33622
315,2019,2,chaco,69,1383,38488,26431,16789,15348,9904,1492.0,109904
316,2019,2,chubut,66,3952,69032,10049,1495,74,165,4500.0,89333
317,2019,2,córdoba,81,8165,248427,100512,157458,170159,76053,8938.0,769793
318,2019,2,corrientes,10,3012,40424,27774,13114,11928,7119,6080.0,109461
319,2019,2,entre ríos,18,5905,100687,52316,23196,24221,10664,17206.0,234213
320,2019,2,formosa,1110,349,26512,5399,8384,2639,2258,100.0,46751
321,2019,2,jujuy,27,940,26233,8441,26700,27,2600,21765.0,86733
322,2019,2,la pampa,236,3289,75406,5191,1366,1445,629,2661.0,90223
323,2019,2,la rioja,9,11,39819,4297,4857,13,1298,,50304
324,2019,2,mendoza,20,2522,205165,2971,10092,1256,234,,222260
325,2019,2,misiones,47,2226,45769,27385,15408,18882,8129,12206.0,130052
326,2019,2,neuquén,302,3038,61776,4688,17318,21210,14132,422.0,122886
327,2019,2,río negro,384,1354,86366,2201,10291,12407,6907,18519.0,138429
328,2019,2,salta,49,974,59638,36923,16961,14059,6461,7585.0,142650
329,2019,2,san juan,22,213,60913,2177,785,7,4,6119.0,70240
330,2019,2,san luis,57,102,16575,4964,467,57236,5,37977.0,117383
331,2019,2,santa cruz,25,84,24861,3806,1202,28,4,,30010
332,2019,2,santa fe,321,8427,300124,125176,129741,100131,49865,22323.0,736108
333,2019,2,santiago del estero,39,1832,63268,21362,3741,108,1205,34501.0,126056
334,2019,2,tierra del fuego,6,123,41824,4241,1573,96,32,,47895
335,2019,2,tucumán,16,157,78891,44296,24291,628,18394,,166673
336,2019,1,buenos aires,162513,72296,1429964,202511,576428,576859,705769,6369.0,3732709
337,2019,1,capital federal,74,7417,283787,131007,330122,365713,283463,0.0,1401583
338,2019,1,catamarca,34,1708,18761,6443,5606,29,7,2151.0,34739
339,2019,1,chaco,69,3801,38719,25632,18965,12393,6368,1035.0,106982
340,2019,1,chubut,66,3938,71077,6571,787,74,165,0.0,82678
341,2019,1,córdoba,81,20403,242769,96997,200681,127965,50716,6806.0,746418
