Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos por cada 100 hogares trimestre anterior + 2%,Diferencia,Porcentaje de diferencia
2016,4,La Rioja,"16,46","17,41","0,95","5,77"
2016,4,Mendoza,"32,11","32,73","0,62","1,93"
2016,4,Misiones,"29,72","30,51","0,79","2,66"
2016,4,Neuquén,"60,87","61,41","0,54","0,89"
2016,4,Río Negro,"46,39","47,32","0,93","2,0"
2016,4,Salta,"32,69","33,62","0,93","2,84"
2016,4,San Juan,"27,29","27,87","0,58","2,13"
2016,4,San Luis,"9,64","9,82","0,18","1,87"
2016,4,Santa Cruz,"27,05","27,38","0,33","1,22"
2016,4,Santa Fe,"52,19","53,72","1,53","2,93"
2016,4,Santiago Del Estero,"15,07","15,64","0,57","3,78"
2016,4,Tierra Del Fuego,"70,31","70,32","0,01","0,01"
2016,4,Tucumán,"37,98","38,66","0,68","1,79"
2016,3,Buenos Aires,"60,14","60,53","0,39","0,65"
2016,3,Capital Federal,"120,77","122,44","1,67","1,38"
2016,3,Catamarca,"26,48","26,59","0,11","0,42"
2016,3,Chaco,"28,91","29,16","0,25","0,86"
2016,3,Chubut,"36,18","36,84","0,66","1,82"
2016,3,Córdoba,"58,24","58,7","0,46","0,79"
2016,3,Corrientes,"31,07","31,19","0,12","0,39"
2016,3,Entre Ríos,"45,44","45,63","0,19","0,42"
2016,3,Formosa,"18,64","19,76","1,12","6,01"
2016,3,Jujuy,"22,61","22,33","-0,28","-1,24"
2016,3,La Pampa,"61,73","61,65","-0,08","-0,13"
2016,3,La Rioja,"17,07","17,22","0,15","0,88"
2016,3,Mendoza,"32,09","32,77","0,68","2,12"
2016,3,Misiones,"29,91","29,82","-0,09","-0,3"
2016,3,Neuquén,"60,21","60,28","0,07","0,12"
2016,3,Río Negro,"46,39","47,16","0,77","1,66"
2016,3,Salta,"32,96","32,72","-0,24","-0,73"
2016,3,San Juan,"27,32","27,89","0,57","2,09"
2016,3,San Luis,"9,63","9,79","0,16","1,66"
2016,3,Santa Cruz,"26,84","27,26","0,42","1,56"
2016,3,Santa Fe,"52,67","53,49","0,82","1,56"
2016,3,Santiago Del Estero,"15,33","16,21","0,88","5,74"
2016,3,Tierra Del Fuego,"68,94","69,07","0,13","0,19"
2016,3,Tucumán,"37,9","37,98","0,08","0,21"
2016,2,Buenos Aires,"59,34","58,49","-0,85","-1,43"
2016,2,Capital Federal,"120,04","117,46","-2,58","-2,15"
2016,2,Catamarca,"26,07","26,43","0,36","1,38"
2016,2,Chaco,"28,59","28,64","0,05","0,17"
2016,2,Chubut,"36,12","36,81","0,69","1,91"
2016,2,Córdoba,"57,55","56,39","-1,16","-2,02"
2016,2,Corrientes,"30,58","30,68","0,1","0,33"
2016,2,Entre Ríos,"44,74","44,73","-0,01","-0,02"
2016,2,Formosa,"19,37","19,42","0,05","0,26"
2016,2,Jujuy,"21,89","21,84","-0,05","-0,23"
2016,2,La Pampa,"60,44","59,0","-1,44","-2,38"
2016,2,La Rioja,"16,88","17,17","0,29","1,72"
2016,2,Mendoza,"32,13","32,76","0,63","1,96"
2016,2,Misiones,"29,24","28,94","-0,3","-1,03"
2016,2,Neuquén,"59,1","56,86","-2,24","-3,79"
2016,2,Río Negro,"46,24","46,76","0,52","1,12"
2016,2,Salta,"32,08","31,95","-0,13","-0,41"
2016,2,San Juan,"27,34","27,88","0,54","1,98"
2016,2,San Luis,"9,6","9,78","0,18","1,88"
2016,2,Santa Cruz,"26,73","27,41","0,68","2,54"
2016,2,Santa Fe,"52,44","52,31","-0,13","-0,25"
2016,2,Santiago Del Estero,"15,89","16,53","0,64","4,03"
2016,2,Tierra Del Fuego,"67,72","67,15","-0,57","-0,84"
2016,2,Tucumán,"37,24","37,45","0,21","0,56"
2016,1,Buenos Aires,"57,34","59,46","2,12","3,7"
2016,1,Capital Federal,"115,16","120,49","5,33","4,63"
2016,1,Catamarca,"25,91","26,76","0,85","3,28"
2016,1,Chaco,"28,08","28,92","0,84","2,99"
2016,1,Chubut,"36,09","37,63","1,54","4,27"
2016,1,Córdoba,"55,28","58,51","3,23","5,84"
2016,1,Corrientes,"30,08","30,95","0,87","2,89"
2016,1,Entre Ríos,"43,85","44,99","1,14","2,6"
2016,1,Formosa,"19,04","19,45","0,41","2,15"
2016,1,Jujuy,"21,41","21,9","0,49","2,29"
2016,1,La Pampa,"57,84","59,94","2,1","3,63"
2016,1,La Rioja,"16,83","17,67","0,84","4,99"
2016,1,Mendoza,"32,12","33,14","1,02","3,18"
2016,1,Misiones,"28,37","29,26","0,89","3,14"
2016,1,Neuquén,"55,75","59,46","3,71","6,65"
2016,1,Río Negro,"45,84","47,37","1,53","3,34"
2016,1,Salta,"31,32","32,22","0,9","2,87"
2016,1,San Juan,"27,33","28,21","0,88","3,22"
2016,1,San Luis,"9,59","9,9","0,31","3,23"
2016,1,Santa Cruz,"26,87","28,29","1,42","5,28"
2016,1,Santa Fe,"51,28","53,66","2,38","4,64"
2016,1,Santiago Del Estero,"16,21","17,34","1,13","6,97"
2016,1,Tierra Del Fuego,"65,83","67,79","1,96","2,98"
2016,1,Tucumán,"36,72","37,8","1,08","2,94"
2015,4,Buenos Aires,"58,29","58,84","0,55","0,94"
2015,4,Capital Federal,"118,13","120,66","2,53","2,14"
2015,4,Catamarca,"26,24","26,38","0,14","0,53"
2015,4,Chaco,"28,35","28,52","0,17","0,6"
2015,4,Chubut,"36,89","37,55","0,66","1,79"
2015,4,Córdoba,"57,36","58,22","0,86","1,5"
2015,4,Corrientes,"30,34","30,77","0,43","1,42"
2015,4,Entre Ríos,"44,11","44,55","0,44","1,0"
2015,4,Formosa,"19,07","19,22","0,15","0,79"
2015,4,Jujuy,"21,47","21,7","0,23","1,07"
2015,4,La Pampa,"58,76","59,12","0,36","0,61"
2015,4,La Rioja,"17,32","17,49","0,17","0,98"
2015,4,Mendoza,"32,49","33,14","0,65","2,0"
2015,4,Misiones,"28,69","28,88","0,19","0,66"
2015,4,Neuquén,"58,29","55,69","-2,6","-4,46"
2015,4,Río Negro,"46,44","47,32","0,88","1,89"
2015,4,Salta,"31,59","31,8","0,21","0,66"
2015,4,San Juan,"27,66","28,22","0,56","2,02"
2015,4,San Luis,"9,71","9,9","0,19","1,96"
2015,4,Santa Cruz,"27,74","28,16","0,42","1,51"
2015,4,Santa Fe,"52,61","53,19","0,58","1,1"
2015,4,Santiago Del Estero,"17,0","17,46","0,46","2,71"
2015,4,Tierra Del Fuego,"66,46","76,36","9,9","14,9"
2015,4,Tucumán,"37,06","37,34","0,28","0,76"
2015,3,Buenos Aires,"57,69","57,94","0,25","0,43"
2015,3,Capital Federal,"118,29","118,39","0,1","0,08"
2015,3,Catamarca,"25,86","25,96","0,1","0,39"
2015,3,Chaco,"27,96","28,01","0,05","0,18"
2015,3,Chubut,"36,81","37,31","0,5","1,36"
2015,3,Córdoba,"57,08","56,99","-0,09","-0,16"
2015,3,Corrientes,"30,17","30,17","0,0","0,0"
2015,3,Entre Ríos,"43,68","43,79","0,11","0,25"
2015,3,Formosa,"18,84","18,73","-0,11","-0,58"
2015,3,Jujuy,"21,27","20,7","-0,57","-2,68"
2015,3,La Pampa,"57,96","57,84","-0,12","-0,21"
2015,3,La Rioja,"17,15","17,22","0,07","0,41"
2015,3,Mendoza,"32,49","33,14","0,65","2,0"
2015,3,Misiones,"28,31","27,9","-0,41","-1,45"
2015,3,Neuquén,"54,6","54,18","-0,42","-0,77"
2015,3,Río Negro,"46,39","46,9","0,51","1,1"
